Customer_ID,Customer_Name,Customer_Type,Region_ID,Customer_Segment
C063,Central Hospital Netherlands 063,Hospital,R05,Small
C064,University Hospital Germany 064,Hospital,R01,Medium
C065,Specialist Clinic Spain 065,Clinic,R04,Medium
C066,Regional Medical Center Belgium 066,Hospital,R06,Medium
C067,University Hospital Germany 067,Hospital,R01,Large
C068,Specialist Clinic Netherlands 068,Clinic,R05,Medium
C069,Health Clinic France 069,Clinic,R02,Medium
C070,Regional Medical Center Spain 070,Hospital,R04,Large
C071,Health Clinic France 071,Clinic,R02,Large
C072,HealthPlus Pharmacy Italy 072,Pharmacy,R03,Small
C073,HealthPlus Pharmacy Netherlands 073,Pharmacy,R05,Medium
C074,HealthPlus Pharmacy Belgium 074,Pharmacy,R06,Small
C075,University Hospital France 075,Hospital,R02,Large
C076,Health Clinic Belgium 076,Clinic,R06,Large
C077,City Pharmacy Belgium 077,Pharmacy,R06,Large
C078,Regional Medical Center France 078,Hospital,R02,Large
C079,Regional Medical Center Belgium 079,Hospital,R06,Medium
C080,Central Hospital Spain 080,Hospital,R04,Large
C081,Central Hospital Netherlands 081,Hospital,R05,Large
C082,HealthPlus Pharmacy Italy 082,Pharmacy,R03,Medium
C083,City Pharmacy Netherlands 083,Pharmacy,R05,Small
C084,Regional Medical Center Netherlands 084,Hospital,R05,Large
C085,Central Hospital Belgium 085,Hospital,R06,Medium
C086,University Hospital Belgium 086,Hospital,R06,Medium
C087,University Hospital Belgium 087,Hospital,R06,Small
C088,Family Clinic Germany 088,Clinic,R01,Large
C089,Health Clinic Belgium 089,Clinic,R06,Small
C090,Health Clinic France 090,Clinic,R02,Medium
C091,Regional Medical Center Spain 091,Hospital,R04,Medium
C092,Specialist Clinic France 092,Clinic,R02,Medium
C093,HealthPlus Pharmacy Netherlands 093,Pharmacy,R05,Medium
C094,City Pharmacy Germany 094,Pharmacy,R01,Medium
C095,City Pharmacy Spain 095,Pharmacy,R04,Medium
C096,City Pharmacy Netherlands 096,Pharmacy,R05,Medium
C097,Family Clinic France 097,Clinic,R02,Small
C098,University Hospital Belgium 098,Hospital,R06,Medium
C099,MediCare Pharmacy Belgium 099,Pharmacy,R06,Small
C100,HealthPlus Pharmacy Spain 100,Pharmacy,R04,Medium
C101,Regional Medical Center France 101,Hospital,R02,Medium
C102,Regional Medical Center Spain 102,Hospital,R04,Medium
C103,City Pharmacy Spain 103,Pharmacy,R04,Large
C104,Regional Medical Center Spain 104,Hospital,R04,Small
C105,MediCare Pharmacy France 105,Pharmacy,R02,Small
C106,Health Clinic Belgium 106,Clinic,R06,Medium
C107,University Hospital Netherlands 107,Hospital,R05,Medium
C108,City Pharmacy France 108,Pharmacy,R02,Medium
C109,HealthPlus Pharmacy Italy 109,Pharmacy,R03,Small
C110,MediCare Pharmacy Belgium 110,Pharmacy,R06,Medium
C111,Regional Medical Center Germany 111,Hospital,R01,Large
C112,City Pharmacy Netherlands 112,Pharmacy,R05,Medium
C113,MediCare Pharmacy Belgium 113,Pharmacy,R06,Medium
C114,Health Clinic Netherlands 114,Clinic,R05,Medium
C115,University Hospital Netherlands 115,Hospital,R05,Large
C116,Family Clinic Belgium 116,Clinic,R06,Medium
C117,HealthPlus Pharmacy Netherlands 117,Pharmacy,R05,Medium
C118,Health Clinic Belgium 118,Clinic,R06,Medium
C119,Specialist Clinic Germany 119,Clinic,R01,Small
C120,Regional Medical Center Belgium 120,Hospital,R06,Small
