Transaction_ID,Date,Product_ID,Region_ID,Sales_Rep_ID,Customer_ID,Units_Sold,Unit_Price,Revenue
TXN00059,2025-01-18,P004,R04,SR010,C065,39,48.65,1897.35
TXN00060,2025-06-14,P003,R05,SR011,C081,142,33.52,4759.84
TXN00061,2024-04-26,P001,R01,SR019,C031,122,40.45,4934.9
TXN00062,2025-12-03,P006,R01,SR007,C055,53,28.88,1530.64
TXN00063,2024-03-05,P004,R05,SR023,C083,45,47.71,2146.95
TXN00064,2025-07-26,P002,R05,SR017,C020,115,58.67,6747.05
TXN00065,2025-12-23,P003,R04,SR010,C103,69,35.01,2415.69
TXN00066,2025-10-10,P008,R02,SR002,C075,121,32.03,3875.63
TXN00067,2024-09-22,P005,R01,SR007,C031,54,65.66,3545.64
TXN00068,2024-04-29,P007,R01,SR013,C088,59,40.98,2417.82
TXN00069,2024-12-16,P001,R03,SR015,C025,30,40.09,1202.7
TXN00070,2024-07-08,P002,R03,SR027,C006,75,54.95,4121.25
TXN00071,2025-07-18,P008,R06,SR030,C085,53,33.39,1769.67
TXN00072,2025-12-19,P007,R03,SR015,C006,43,42.39,1822.77
TXN00073,2024-02-29,P004,R01,SR007,C013,120,46.37,5564.4
TXN00074,2025-09-14,P006,R02,SR002,C092,42,27.91,1172.22
TXN00075,2025-03-27,P002,R02,SR002,C026,116,57.76,6700.16
TXN00076,2024-11-24,P002,R03,SR021,C014,131,54.68,7163.08
TXN00077,2024-07-25,P003,R03,SR015,C024,25,34.53,863.25
TXN00078,2025-01-27,P002,R02,SR026,C108,90,54.83,4934.7
TXN00079,2025-10-01,P002,R01,SR001,C017,49,55.56,2722.44
TXN00080,2025-11-01,P008,R03,SR021,C011,53,30.07,1593.71
TXN00081,2025-09-05,P001,R06,SR006,C087,96,43.14,4141.44
TXN00082,2024-09-06,P002,R05,SR023,C112,97,54.79,5314.63
TXN00083,2025-07-05,P001,R06,SR006,C047,69,39.6,2732.4
TXN00084,2024-07-24,P008,R04,SR016,C046,21,33.24,698.04
TXN00085,2024-08-09,P008,R03,SR021,C006,44,32.82,1444.08
TXN00086,2024-12-11,P003,R05,SR017,C008,50,34.72,1736.0
TXN00087,2024-11-27,P008,R04,SR016,C023,85,31.88,2709.8
TXN00088,2024-08-09,P004,R03,SR003,C052,62,48.9,3031.8
TXN00089,2024-10-21,P001,R02,SR008,C069,36,39.48,1421.28
TXN00090,2024-11-17,P002,R04,SR010,C004,38,51.81,1968.78
TXN00091,2025-07-03,P002,R04,SR010,C023,124,55.65,6900.6
TXN00092,2024-04-04,P004,R06,SR024,C044,71,48.99,3478.29
TXN00093,2024-02-16,P005,R06,SR012,C076,69,66.67,4600.23
TXN00094,2024-10-19,P002,R06,SR030,C110,66,55.2,3643.2
TXN00095,2025-08-17,P008,R01,SR007,C043,30,32.12,963.6
TXN00096,2025-10-29,P002,R02,SR020,C069,62,55.23,3424.26
TXN00097,2024-12-03,P007,R02,SR014,C042,84,42.91,3604.44
TXN00098,2024-06-08,P007,R02,SR014,C097,20,41.32,826.4
TXN00099,2024-03-25,P001,R06,SR012,C047,67,39.18,2625.06
TXN00100,2024-05-20,P001,R06,SR024,C015,184,40.15,7387.6
TXN00101,2024-06-12,P001,R01,SR019,C067,195,40.01,7801.95
TXN00102,2025-08-31,P008,R04,SR022,C080,79,33.09,2614.11
TXN00103,2024-08-22,P001,R03,SR009,C011,69,40.98,2827.62
TXN00104,2024-11-06,P003,R05,SR029,C112,45,33.68,1515.6
TXN00105,2024-05-02,P007,R06,SR018,C047,29,43.53,1262.37
TXN00106,2024-04-15,P001,R01,SR013,C012,92,39.74,3656.08
TXN00107,2024-09-04,P001,R05,SR023,C063,104,41.93,4360.72
TXN00108,2024-05-02,P002,R02,SR014,C092,52,55.01,2860.52
TXN00109,2025-06-06,P002,R02,SR014,C058,109,55.91,6094.19
TXN00110,2024-06-09,P007,R01,SR001,C017,35,44.05,1541.75
TXN00111,2025-11-01,P007,R05,SR011,C117,57,42.45,2419.65
TXN00112,2025-12-14,P004,R02,SR008,C092,44,52.09,2291.96
TXN00113,2024-12-05,P004,R01,SR001,C111,113,48.85,5520.05
TXN00114,2025-03-15,P003,R05,SR011,C083,52,32.43,1686.36
TXN00115,2024-11-25,P001,R04,SR016,C102,112,40.51,4537.12
TXN00116,2024-02-18,P003,R01,SR025,C111,133,34.89,4640.37
TXN00117,2024-09-05,P005,R03,SR009,C025,17,64.85,1102.45
TXN00118,2024-05-22,P001,R02,SR014,C034,95,39.0,3705.0
TXN00119,2024-06-27,P005,R02,SR002,C049,123,64.72,7960.56
TXN00120,2024-07-12,P001,R01,SR013,C060,148,41.81,6187.88
TXN00121,2025-05-20,P003,R06,SR018,C062,42,33.35,1400.7
TXN00122,2024-02-02,P004,R06,SR012,C074,47,49.05,2305.35
TXN00123,2025-04-23,P007,R01,SR007,C119,29,42.2,1223.8
TXN00124,2024-03-16,P008,R02,SR026,C078,124,30.25,3751.0
TXN00125,2024-07-17,P005,R03,SR015,C019,45,69.84,3142.8
TXN00126,2024-12-03,P001,R02,SR014,C026,72,41.11,2959.92
TXN00127,2025-07-24,P007,R05,SR017,C083,52,43.89,2282.28
TXN00128,2024-07-07,P003,R01,SR019,C119,46,34.03,1565.38
TXN00129,2025-03-26,P001,R04,SR004,C103,123,37.18,4573.14
TXN00130,2025-02-15,P006,R02,SR014,C007,117,31.03,3630.51
TXN00131,2025-09-14,P006,R02,SR014,C090,38,29.86,1134.68
TXN00132,2024-04-27,P001,R06,SR024,C110,85,37.08,3151.8
TXN00133,2024-10-11,P008,R03,SR027,C014,74,28.89,2137.86
TXN00134,2025-02-16,P006,R02,SR002,C033,189,29.57,5588.73
TXN00135,2025-06-17,P003,R01,SR025,C119,36,,1199.88
TXN00136,2025-01-15,P001,R02,SR020,C078,209,37.78,7896.02
TXN00137,2024-11-23,P001,R01,SR001,C055,93,40.58,3773.94
TXN00138,2024-09-08,P005,R06,SR012,C015,127,66.1,8394.7
TXN00139,2024-04-07,P008,R01,SR013,C022,101,31.18,3149.18
TXN00140,2025-01-25,P001,R02,SR014,C105,74,40.49,2996.26
TXN00141,2024-01-04,P007,R01,SR025,C067,124,42.43,5261.32
TXN00142,2025-01-26,P002,R01,SR001,C119,30,52.83,1584.9
TXN00143,2024-05-26,P007,R05,SR005,C028,121,,5269.55
TXN00144,2025-06-01,P007,R03,SR009,C030,50,42.75,2137.5
TXN00145,2024-07-23,P001,R02,SR008,C033,160,39.06,6249.6
TXN00146,2024-03-06,P001,R04,SR004,C004,54,40.81,2203.74
TXN00147,2025-09-28,P001,R01,SR025,C060,95,40.97,3892.15
TXN00148,2024-02-05,P005,R06,SR012,C076,51,73.31,3738.81
TXN00149,2025-04-21,P001,R06,SR030,C016,126,41.36,5211.36
TXN00150,2024-09-11,P004,R02,SR008,C092,29,49.31,1429.99
TXN00151,2024-05-07,P006,R02,SR020,C097,26,27.34,710.84
TXN00152,2024-06-16,P003,R03,SR003,C030,78,34.43,2685.54
TXN00153,2025-06-20,P001,R01,SR013,C067,205,39.54,8105.7
TXN00154,2025-04-11,P006,R05,SR023,C093,71,31.33,2224.43
TXN00155,2025-07-17,P005,R02,SR020,C058,113,69.09,7807.17
TXN00156,2025-04-29,P006,R05,SR011,C081,152,27.21,4135.92
TXN00157,2024-09-12,P006,R01,SR001,C031,83,31.13,2583.79
TXN00158,2025-04-03,P002,R06,SR030,C021,71,55.22,3920.62
TXN00159,2025-06-15,P003,R04,SR022,C102,104,34.21,3557.84
TXN00160,2024-05-08,P004,R02,SR008,C033,124,47.11,5841.64
TXN00161,2024-06-24,P003,R05,SR023,C028,131,35.58,4660.98
TXN00162,2025-08-18,P003,R01,SR007,C055,43,36.38,1564.34
TXN00163,2024-05-14,P002,R01,SR007,C012,63,55.4,3490.2
TXN00164,2024-11-16,P005,R06,SR012,C074,41,67.55,2769.55
TXN00165,2025-01-03,P001,R02,SR020,C092,72,40.78,2936.16
TXN00166,2024-02-29,P007,R03,SR021,C030,55,44.13,2427.15
TXN00167,2024-02-20,P007,R06,SR030,C086,87,42.84,3727.08
TXN00168,2025-09-30,P003,R03,SR021,C082,65,34.47,2240.55
TXN00169,2024-06-12,P003,R01,SR001,C064,110,33.13,3644.3
TXN00170,2025-11-24,P002,R01,SR007,C088,67,53.43,3579.81
TXN00171,2025-12-31,P008,R01,SR025,C119,18,30.22,543.96
TXN00172,2024-07-20,P006,R01,SR019,C088,58,27.72,1607.76
TXN00173,2025-05-09,P001,R03,SR003,C019,109,40.77,4443.93
TXN00174,2025-12-27,P006,R01,SR001,C043,35,28.0,980.0
TXN00175,2025-02-16,P005,R02,SR014,C092,38,68.57,2605.66
TXN00176,2025-09-21,P006,R01,SR025,C067,91,27.56,2507.96
TXN00177,2024-05-07,P006,R03,SR003,C014,130,29.29,3807.7
TXN00178,2024-07-30,P001,R01,SR001,C027,75,44.08,3306.0
TXN00179,2024-10-21,P001,R02,SR026,C036,60,41.65,2499.0
TXN00180,2024-01-26,P007,R06,SR024,C110,48,44.62,2141.76
TXN00181,2025-01-30,P001,R03,SR009,C030,74,40.01,2960.74
TXN00182,2025-07-09,P007,R03,SR027,C053,79,43.98,3474.42
TXN00183,2025-12-22,P005,R03,SR009,C052,29,66.79,1936.91
TXN00184,2025-01-04,P005,R01,SR019,C067,122,68.92,8408.24
TXN00185,2024-11-27,P008,R04,SR028,C100,37,34.01,1258.37
TXN00186,2025-11-01,P003,R06,SR012,C015,146,33.17,4842.82
TXN00187,2025-03-15,P002,R06,SR012,C066,139,56.9,7909.1
TXN00188,2025-10-07,P001,R04,SR028,C100,66,39.25,2590.5
TXN00189,2025-03-18,P007,R01,SR013,C055,79,40.63,3209.77
TXN00190,2024-09-11,P007,R05,SR011,C107,92,42.3,3891.6
TXN00191,2025-08-07,P008,R01,SR007,C043,29,29.4,852.6
TXN00192,2024-01-20,P003,R03,SR003,C025,42,33.8,1419.6
TXN00193,2025-09-03,P001,R02,SR026,C108,111,40.85,4534.35
TXN00194,2025-02-26,P001,R01,SR001,C013,151,38.68,5840.68
TXN00195,2025-06-21,P007,R05,SR017,C008,45,40.83,1837.35
TXN00196,2025-04-06,P004,R02,SR020,C049,111,49.19,5460.09
TXN00197,2024-11-04,P002,R01,SR001,C088,69,53.89,3718.41
TXN00198,2025-09-07,P002,R05,SR011,C056,62,53.74,3331.88
TXN00199,2025-12-20,P005,R02,SR014,C049,82,68.17,5589.94
TXN00200,2025-02-09,P005,R04,SR022,C091,73,67.66,4939.18
TXN00201,2024-11-14,P006,R01,SR001,C031,63,28.54,1798.02
TXN00202,2024-11-18,P004,R05,SR029,C073,48,47.08,2259.84
TXN00203,2025-12-31,P004,R01,SR019,C043,57,51.08,2911.56
TXN00204,2025-01-11,P002,R06,SR018,C062,38,54.98,2089.24
TXN00205,2025-04-17,P001,R05,SR017,C083,63,39.21,2470.23
TXN00206,2025-06-20,P002,R01,SR013,C064,124,55.18,6842.32
TXN00207,2024-04-21,P006,R06,SR012,C118,41,28.99,1188.59
TXN00208,2024-12-31,P008,R01,SR019,C060,77,32.86,2530.22
TXN00209,2024-08-23,P002,R03,SR009,C052,47,52.85,2483.95
TXN00210,2025-08-31,P004,R03,SR003,C037,113,51.54,5824.02
TXN00211,2025-08-13,P002,R02,SR008,C071,79,51.08,4035.32
TXN00212,2024-04-03,P001,R05,SR029,C083,51,40.32,2056.32
TXN00213,2025-10-13,P005,R01,SR007,C012,34,69.56,2365.04
TXN00214,2024-02-10,P006,R02,SR008,C026,61,28.79,1756.19
TXN00215,2025-03-10,P002,R03,SR027,C052,66,52.7,3478.2
TXN00216,2024-04-19,P002,R06,SR030,C074,55,51.87,2852.85
TXN00217,2025-06-20,P001,R02,SR002,C069,86,38.51,3311.86
TXN00218,2025-06-04,P006,R05,SR017,C112,45,27.85,1253.25
TXN00219,2025-05-22,P003,R01,SR007,C094,54,32.72,1766.88
TXN00220,2024-06-12,P008,R06,SR018,C044,60,32.17,1930.2
TXN00221,2025-06-06,P004,R06,SR030,C045,79,51.04,4032.16
TXN00222,2025-12-10,P005,R03,SR015,C024,21,65.4,1373.4
TXN00223,2025-05-28,P004,R05,SR023,C081,172,50.26,8644.72
TXN00224,2024-12-11,P008,R01,SR019,C055,51,33.8,1723.8
TXN00225,2025-04-25,P005,R05,SR011,C107,127,65.08,8265.16
TXN00226,2024-06-25,P001,R06,SR018,C021,78,38.78,3024.84
TXN00227,2024-10-30,P002,R05,SR017,C028,110,53.03,5833.3
TXN00228,2024-07-27,P005,R02,SR026,C108,56,67.44,3776.64
TXN00229,2024-05-16,P001,R01,SR019,C057,107,39.67,4244.69
TXN00230,2024-07-28,P005,R01,SR013,C012,54,63.49,3428.46
TXN00231,2024-10-29,P003,R01,SR001,C031,85,33.7,2864.5
TXN00232,2024-11-29,P004,R03,SR003,C003,88,46.67,4106.96
TXN00233,2024-03-12,P005,R06,SR024,C051,44,68.72,3023.68
TXN00234,2024-01-17,P008,R04,SR010,C103,57,30.43,1734.51
TXN00235,2024-03-08,P007,R01,SR025,C013,124,45.67,5663.08
TXN00236,2024-11-26,P001,R03,SR003,C009,85,39.96,3396.6
TXN00237,2024-02-03,P004,R02,SR002,C007,158,46.48,7343.84
TXN00238,2025-11-10,P003,R02,SR014,C101,79,33.53,2648.87
TXN00239,2024-10-21,P001,R01,SR007,C067,142,41.29,5863.18
TXN00240,2025-05-12,P003,R02,SR008,C090,46,34.79,1600.34
TXN00241,2024-07-13,P001,R06,SR012,C062,64,44.0,2816.0
TXN00242,2024-09-07,P006,R05,SR011,C028,117,28.39,3321.63
TXN00243,2024-10-30,P001,R06,SR024,C074,51,39.76,2027.76
TXN00244,2024-09-06,P008,R04,SR010,C004,24,30.42,730.08
TXN00245,2025-07-09,P002,R02,SR008,C097,32,55.1,1763.2
TXN00246,2024-01-24,P001,R02,SR008,C042,130,39.34,5114.2
TXN00247,2025-11-13,P007,R05,SR011,C020,116,43.14,5004.24
TXN00248,2025-07-13,P008,R05,SR023,C056,44,31.2,1372.8
TXN00249,2024-04-07,P005,R05,SR005,C107,104,68.5,7124.0
TXN00250,2025-08-07,P003,R02,SR026,C007,144,33.69,4851.36
TXN00251,2024-02-05,P003,R01,SR025,C094,60,33.04,1982.4
TXN00252,2025-10-15,P001,R01,SR007,C057,67,40.59,2719.53
TXN00253,2024-12-19,P006,R01,SR025,C064,72,29.86,2149.92
TXN00254,2025-12-09,P002,R05,SR011,C084,199,55.76,11096.24
TXN00255,2024-10-07,P007,R01,SR019,C031,63,42.9,2702.7
TXN00256,2025-03-13,P008,R04,SR010,C010,106,32.37,3431.22
TXN00257,2024-03-29,P001,R04,SR016,C048,100,40.89,4089.0
TXN00258,2024-11-19,P001,R06,SR030,C015,151,38.49,5811.99
TXN00259,2025-06-23,P002,R01,SR013,C057,92,56.16,5166.72
TXN00260,2025-10-18,P005,R04,SR004,C040,70,67.71,4739.7
TXN00261,2025-09-13,P002,R02,SR008,C101,86,55.07,4736.02
TXN00262,2025-01-27,P002,R02,SR002,C034,118,53.43,6304.74
TXN00263,2025-05-21,P005,R05,SR017,C008,50,69.45,3472.5
TXN00264,2024-10-03,P008,R02,SR026,C090,30,31.03,930.9
TXN00265,2024-01-23,P006,R05,SR005,C008,50,28.22,1411.0
TXN00266,2025-01-06,P007,R05,SR017,C114,35,43.42,1519.7
TXN00267,2024-12-22,P006,R01,SR013,C111,109,28.96,3156.64
TXN00268,2024-09-04,P002,R05,SR005,C032,111,55.95,6210.45
TXN00269,2025-05-22,P001,R04,SR004,C080,188,36.67,6893.96
TXN00270,2024-02-01,P004,R02,SR002,C042,115,49.94,5743.1
TXN00271,2025-03-27,P002,R01,SR025,C043,51,56.17,2864.67
TXN00272,2024-10-08,P007,R05,SR029,C081,67,43.95,2944.65
TXN00273,2025-06-29,P002,R01,SR001,C043,45,51.18,2303.1
TXN00274,2025-12-21,P007,R03,SR003,C019,65,43.55,2830.75
TXN00275,2024-06-02,P001,R02,SR026,C075,172,41.68,7168.96
TXN00276,2025-02-19,P001,R02,SR002,C092,99,39.29,3889.71
TXN00277,2024-08-07,P002,R01,SR001,C057,78,54.05,4215.9
TXN00278,2025-09-16,P008,R02,SR002,C071,48,32.31,1550.88
TXN00279,2024-07-31,P005,R06,SR018,C016,65,73.32,4765.8
TXN00280,2025-05-01,P002,R03,SR009,C025,29,50.41,1461.89
TXN00281,2024-01-30,P001,R05,SR005,C038,66,37.83,2496.78
TXN00282,2025-03-16,P001,R01,SR013,C012,73,39.73,2900.29
TXN00283,2025-09-09,P008,R01,SR007,C027,21,33.68,707.28
TXN00284,2025-03-11,P006,R03,SR021,C037,114,29.15,3323.1
TXN00285,2025-06-29,P005,R02,SR008,C071,56,71.52,4005.12
TXN00286,2025-11-12,P001,R01,SR025,C057,101,39.67,4006.67
TXN00287,2025-07-03,P006,R01,SR019,C017,31,29.04,900.24
TXN00288,2025-10-20,P006,R05,SR005,C112,55,29.69,1632.95
TXN00289,2024-05-19,P003,R03,SR027,C011,64,34.37,2199.68
TXN00290,2025-04-30,P001,R02,SR026,C075,225,40.82,9184.5
TXN00291,2024-09-09,P006,R04,SR022,C023,119,28.12,3346.28
TXN00292,2025-04-13,P004,R01,SR001,C027,55,47.45,2609.75
TXN00293,2024-10-18,P007,R01,SR013,C012,59,42.05,2480.95
TXN00294,2025-06-20,P006,R02,SR026,C101,112,28.56,3198.72
TXN00295,2025-07-26,P008,R01,SR001,C017,31,30.3,939.3
TXN00296,2024-09-29,P003,R02,SR002,C097,41,32.83,1346.03
TXN00297,2024-05-16,P007,R01,SR013,C119,34,44.11,1499.74
TXN00298,2025-11-05,P001,R05,SR023,C081,208,39.44,8203.52
TXN00299,2025-03-13,P005,R06,SR030,C002,75,63.62,4771.5
TXN00300,2025-01-24,P007,R01,SR019,C022,86,41.94,3606.84
TXN00301,2025-12-28,P003,R01,SR007,C043,38,33.48,1272.24
TXN00302,2025-02-15,P007,R06,SR006,C113,75,43.32,3249.0
TXN00303,2025-01-10,P005,R01,SR019,C012,65,67.76,4404.4
TXN00304,2025-12-01,P003,R03,SR009,C030,45,34.27,1542.15
TXN00305,2025-10-10,P002,R06,SR012,C062,47,59.26,2785.22
TXN00306,2024-05-06,P002,R04,SR022,C104,96,55.48,5326.08
TXN00307,2024-07-05,P005,R01,SR013,C094,62,70.15,4349.3
TXN00308,2025-03-27,P001,R02,SR014,C007,195,40.78,7952.1
TXN00309,2024-04-25,P001,R04,SR022,C100,111,37.48,4160.28
TXN00310,2025-09-19,P001,R01,SR019,C022,127,39.24,4983.48
TXN00311,2024-05-26,P007,R02,SR014,C101,86,41.69,3585.34
TXN00312,2025-07-15,P003,R06,SR018,C015,108,34.94,3773.52
TXN00313,2025-05-30,P005,R01,SR019,C013,120,64.0,7680.0
TXN00314,2024-04-15,P004,R06,SR030,C106,52,45.4,2360.8
TXN00315,2024-08-07,P007,R05,SR005,C083,43,43.66,1877.38
TXN00316,2025-08-24,P002,R02,SR002,C042,131,55.35,7250.85
TXN00317,2025-02-01,P003,R03,SR021,C011,64,32.82,2100.48
TXN00318,2024-11-09,P004,R04,SR028,C095,64,49.14,3144.96
TXN00319,2024-09-05,P007,R05,SR023,C008,54,41.76,2255.04
TXN00320,2025-04-30,P004,R06,SR012,C061,81,51.42,4165.02
TXN00321,2025-05-19,P004,R02,SR008,C075,116,46.14,5352.24
TXN00322,2024-06-28,P003,R04,SR016,C048,73,33.99,2481.27
TXN00323,2024-03-29,P002,R05,SR017,C096,82,55.41,4543.62
TXN00324,2025-06-29,P006,R03,SR021,C018,57,28.96,1650.72
TXN00325,2024-12-21,P007,R06,SR018,C061,56,42.5,2380.0
TXN00326,2024-10-05,P005,R02,SR026,C101,80,65.69,5255.2
TXN00327,2025-02-13,P002,R02,SR020,C071,79,59.61,4709.19
TXN00328,2025-10-14,P001,R01,SR007,C022,111,39.97,4436.67
TXN00329,2025-01-19,P004,R01,SR025,C043,49,47.8,2342.2
TXN00330,2025-02-10,P006,R01,SR007,C067,90,28.72,2584.8
TXN00331,2025-10-19,P002,R02,SR002,C034,98,54.54,5344.92
TXN00332,2025-02-09,P005,R03,SR009,C052,24,70.93,1702.32
TXN00333,2024-06-04,P002,R02,SR020,C069,48,54.54,2617.92
TXN00334,2025-07-26,P007,R01,SR001,C067,129,44.44,5732.76
TXN00335,2025-01-19,P008,R03,SR021,C024,27,32.94,889.38
TXN00336,2025-04-22,P005,R06,SR018,C062,29,67.88,1968.52
TXN00337,2024-04-22,P005,R05,SR005,C084,125,68.39,8548.75
TXN00338,2024-09-16,P005,R01,SR019,C013,111,68.43,7595.73
TXN00339,2024-06-23,P003,R03,SR021,C037,123,32.61,4011.03
TXN00340,2025-11-14,P005,R06,SR030,C110,52,65.75,3419.0
TXN00341,2025-07-04,P001,R06,SR024,C001,57,37.51,2138.07
TXN00342,2024-12-25,P001,R02,SR014,C092,40,41.05,1642.0
TXN00343,2024-11-01,P002,R01,SR001,C055,67,56.23,3767.41
TXN00344,2025-02-12,P001,R02,SR020,C090,82,39.24,3217.68
TXN00345,2025-08-30,P003,R04,SR028,C010,119,34.69,4128.11
TXN00346,2024-06-11,P002,R04,SR028,C080,148,54.11,8008.28
TXN00347,2024-10-05,P002,R02,SR014,C092,42,55.74,2341.08
TXN00348,2024-06-28,P003,R05,SR023,C068,54,35.76,1931.04
TXN00349,2025-01-26,P003,R06,SR024,C066,97,34.67,3362.99
TXN00350,2025-04-28,P001,R03,SR009,C018,69,41.22,2844.18
TXN00351,2025-04-21,P005,R06,SR018,C044,54,64.73,3495.42
TXN00352,2024-01-27,P003,R01,SR001,C027,45,33.36,1501.2
TXN00353,2024-05-22,P004,R03,SR003,C018,69,50.16,3461.04
TXN00354,2024-08-28,P001,R01,SR019,C017,55,40.69,2237.95
TXN00355,2024-03-31,P008,R06,SR012,C050,25,33.23,830.75
TXN00356,2024-04-19,P004,R01,SR013,C111,151,47.94,7238.94
TXN00357,2024-04-21,P002,R02,SR020,C042,139,53.42,7425.38
TXN00358,2024-04-23,P001,R06,SR018,C001,59,37.94,2238.46
TXN00359,2024-07-05,P006,R03,SR021,C025,34,30.55,1038.7
TXN00360,2024-09-23,P003,R06,SR030,C086,83,31.74,2634.42
TXN00361,2025-04-24,P007,R06,SR006,C106,45,43.46,1955.7
TXN00362,2024-06-11,P008,R02,SR014,C097,26,32.57,846.82
TXN00363,2024-05-17,P002,R06,SR006,C099,56,53.72,3008.32
TXN00364,2025-01-13,P005,R06,SR030,C016,75,69.92,5244.0
TXN00365,2025-09-04,P004,R03,SR009,C109,36,50.96,1834.56
TXN00366,2024-05-14,P005,R03,SR015,C054,45,68.0,3060.0
TXN00367,2024-05-07,P005,R01,SR019,C067,110,70.17,7718.7
TXN00368,2024-03-13,P005,R03,SR027,C009,52,70.14,3647.28
TXN00369,2025-10-30,P005,R03,SR015,C003,38,66.2,2515.6
TXN00370,2024-12-11,P001,R01,SR007,C067,152,42.3,6429.6
TXN00371,2024-08-30,P007,R05,SR005,C038,47,43.64,2051.08
TXN00372,2024-08-02,P001,R04,SR022,C104,87,39.54,3439.98
TXN00373,2024-09-13,P002,R03,SR021,C009,45,58.76,2644.2
TXN00374,2025-02-21,P006,R03,SR021,C019,56,27.38,1533.28
TXN00375,2024-04-19,P001,R04,SR028,C091,122,39.96,4875.12
